address,latitude,longitude
"6 E 39TH ST STE 1000 , NEW YORK NY 100160112",40.75134,-73.98196
"9850 GENESEE AVE STE 820 , LA JOLLA CA 920371219",32.88568,-117.22409
"3250 HOSPITAL DR , JUNEAU AK 998017808",58.32994,-134.47019
"148 MAIN ST , WINTERSVILLE OH 439533734",40.37126,-80.68664
"22414 HARTLAND ST , WEST HILLS CA 913072617",34.19451,-118.61628
"7923 LINCOLN AVE , SKOKIE IL 600773681",42.02505,-87.75704
"15232 SHERMAN WAY , VAN NUYS CA 91405",34.20097,-118.46482
"132 ROBBS HILL RD , LUNENBURG MA 014622167",42.5586,-71.68129
"11000 N MILITARY TRL , PALM BEACH GARDENS FL 334106504",26.83978,-80.10506
"47045 MOORE RIDGE RD , WOODSFIELD OH 437939484",39.77852,-81.11009
