latitude,longitude,address
40.75134,-73.98196,"2 East 39th Street, New York, NY 10018, United States of America"
32.88568,-117.22409,"Scripps Memorial Hospital La Jolla, 9888 Genesee Avenue, San Diego, CA 92037, United States of America"
58.32994,-134.47019,"SERHC, Hospital Drive, Juneau, AK, United States of America"
40.37126,-80.68664,"McDonald's, 248 Main Street, Wintersville, OH 43953, United States of America"
34.19451,-118.61628,"22436 Hartland Street, LA, CA 91307, United States of America"
42.02505,-87.75704,"5156 Galitz Street, Skokie, IL 60077, United States of America"
34.20097,-118.46482,"Pharmacy, Sherman Way, LA, CA 91405, United States of America"
42.5586,-71.68129,"60 Robbs Hill Road, Lunenburg, MA 01464, United States of America"
26.83978,-80.10506,"11073 North Military Trail, Palm Beach Gardens, FL 33410, United States of America"
39.77852,-81.11009,"47078 Moore Ridge Road, Woodsfield, OH 43793, United States of America"
